iteration	time	leafsWith	leafsWithout
9	0.4701436884221266	1	2
9	3.1166429008977445	25	2
9	0.625558887838082	8	12
9	1.6928783523269715	6	1
9	1.6156890194786229	1	1
9	2.903317916070307	4	1
9	1.4845696737812375	1	1
9	3.244442165363239	148	32
9	2.991419410060729	16	1
9	2.5997193783576904	4	1
9	3.262517205334831	30	17
9	3.0155720994434034	1	1
9	1.636284550026005	2	1
9	1.61746517316584	1	3
9	0.5636120540328307	1	1
9	3.1055217643368564	4	2
9	4.807269892348074	5	345
9	2.690655570107765	1	2
9	0.48925717161492344	1	1
9	1.5748202946010394	1	1
9	1.5863758717082135	35	1
9	2.8265438701152448	5	3
9	3.111006638064822	1	2
9	2.7145389216634896	1	1
10	2.809811300171731	5	4
10	1.4669782000547968	1	1
10	1.5941818954090934	1	3
10	3.2198383131692196	25	6
10	2.959662096135304	16	1
10	2.683157591995524	61	2
10	2.6831022375753832	1	2
10	1.7629501716587015	6	1
10	3.04492995808414	2	1
10	3.1718436866887885	25	2
10	2.3963323765537723	1	1
10	3.260935264187765	148	32
10	3.014652185588659	1	1
10	3.245528873834786	30	23
10	0.504645912053661	1	1
10	3.1372229615677725	4	9
10	1.508497930739793	1	1
10	2.8300222274198177	4	1
10	2.5289340792874953	4	1
10	1.8167291811028008	35	1
10	1.6110967415957589	2	2
10	3.030903628265264	1	1
10	3.366543929718347	54	222
10	0.6453211540346615	8	12
10	3.332362852674919	1	53
10	0.5324003835922895	1	2
10	0.5862578466868626	1	8
10	0.45754791321624566	1	1
10	3.206590618555765	9	139
10	2.6841059970027743	1	2
11	2.884869254340998	16	1
11	1.5109041918466346	1	1
11	3.1808122149030567	25	7
11	0.7160824729434694	8	27
11	2.637700740006494	61	2
11	2.6237803234761543	1	2
11	0.5055085109033541	1	3
11	2.3449601085651466	1	1
11	3.148889681434298	9	24
11	1.2425446928444615	35	1
11	3.2634849930485075	1	208
11	3.228278787162651	30	23
11	2.430179455676182	4	1
11	0.482493718626273	1	2
11	1.4568437591340455	1	2
11	3.201664634746919	148	32
11	3.3522816538126676	53	223
11	1.5888504162517165	2	1
